cycles         instructions   cache-references  cache-misses  branches     branch-misses  page-faults  Power
113,023,353    65,236,192     1,709,431         186,717       12,236,831   671,176        4,317        7.5
140,224,548    103,038,997    2,246,730         270,317       18,649,866   783,791        4,427        6.8
104,986,572    57,699,427     1,611,680         174,594       10,812,575   608,425        4,319        7.0
51,445,377     31,680,969     661,543           95,774        5,681,461    250,184        1,013        6.7
114,734,451    70,787,167     1,688,973         183,242       13,096,498   701,581        4,345        6.4
112,473,649    66,110,757     1,680,983         187,091       12,384,114   696,180        4,327        6.7
101,384,255    56,829,612     1,560,892         161,419       10,591,230   583,418        4,318        6.6
121,762,609    66,892,361     1,635,168         175,888       12,843,689   634,703        4,321        6.3
113,955,286    67,022,607     1,743,919         188,895       12,489,793   675,044        4,332        6.7
289,454,104    146,241,903    2,332,502         261,334       28,950,960   904,623        4,380        6.5
180,343,355    135,995,721    2,299,283         233,077       24,816,719   1,546,650      4,320        8.8
100,005,774    55,517,639     1,557,419         183,706       10,451,250   580,742        4,315        7.0
118,181,588    82,990,662     1,763,162         177,840       15,253,340   679,633        4,393        6.5
110,783,093    67,312,989     1,664,688         190,523       12,552,191   674,695        4,323        6.6
101,296,107    56,544,341     1,562,097         162,413       10,578,229   582,494        4,323        6.5
97,702,618     57,093,548     1,546,475         147,612       10,692,772   583,257        4,322        6.2
108,512,217    61,567,692     1,676,651         171,591       11,481,990   632,351        4,330        6.5
150,594,129    109,462,661    2,073,583         212,696       20,181,147   986,511        4,396        6.4
117,955,643    78,246,071     1,761,667         222,245       14,493,085   693,656        4,372        7.1
116,871,315    73,262,651     1,819,116         208,830       13,789,993   760,030        3,755        6.6
235,245,410    261,975,300    2,332,661         189,978       44,836,671   2,158,218      2,611        6.4
123,437,136    90,841,046     1,716,876         183,497       16,371,093   845,095        1,030        7.3
150,083,336    107,399,691    2,003,905         248,970       19,545,405   1,087,829      3,829        6.6
129,081,589    82,614,773     1,785,867         207,575       14,997,369   846,439        3,945        6.4
104,293,019    58,589,004     1,597,396         184,195       10,934,146   600,175        4,324        6.3
119,598,257    67,664,702     1,801,030         195,634       12,674,512   743,973        4,321        6.2
113,569,108    70,572,384     1,725,630         180,827       13,058,773   660,840        4,346        6.8
145,231,838    109,787,193    1,876,540         224,232       20,083,205   1,008,960      4,358        6.5
135,911,985    100,233,279    1,901,764         234,639       18,489,608   851,978        4,401        6.8
251,164,330    208,892,525    2,921,864         284,791       38,736,102   2,014,748      4,326        6.9
50,552,233     29,936,860     618,262           100,380       5,226,530    230,494        1,016        7.2
182,001,567    134,047,331    2,219,321         263,862       24,618,623   1,286,670      4,373        5.8
127,562,346    69,747,057     1,838,221         224,781       13,107,598   687,865        4,311        7.7
114,545,859    71,258,496     1,697,963         177,924       13,181,904   701,742        4,348        7.0
113,781,081    73,880,118     1,723,225         186,367       13,634,797   653,106        4,350        6.7
113,335,012    63,239,940     1,711,096         199,093       11,819,815   678,629        4,328        6.8
127,594,058    88,954,314     1,789,154         195,186       16,319,685   870,892        4,328        6.6
125,165,360    77,890,885     1,795,757         195,810       14,505,892   829,989        4,330        6.3
165,045,847    119,559,026    2,229,890         245,840       22,172,117   984,491        4,340        6.9
132,215,135    83,836,947     1,776,544         195,982       15,523,733   927,018        4,325        6.7
130,739,800    85,936,684     1,883,960         224,892       15,773,539   824,191        4,345        6.4
99,473,814     55,971,160     1,500,528         160,251       10,440,304   563,600        4,326        6.7
113,949,622    74,172,151     1,736,654         179,449       13,751,975   665,459        4,351        6.0
153,062,234    108,502,098    2,099,136         224,275       20,033,519   1,180,544      4,341        6.5
130,752,648    96,304,725     1,943,825         214,360       17,682,044   764,477        4,415        7.0
106,925,679    58,987,998     1,652,085         186,205       10,961,582   622,489        4,321        6.9
110,669,629    67,200,113     1,700,617         183,061       12,468,737   648,868        4,340        6.6
102,146,054    61,483,053     1,586,842         158,513       11,554,249   606,061        4,320        6.6
107,277,379    63,938,415     1,655,719         168,254       11,932,650   625,937        4,342        6.5
107,508,360    65,309,058     1,628,769         154,951       12,130,051   631,131        4,347        6.6
1,320,872,242  1,457,152,064  13,815,991        570,617       305,768,129  5,323,076      7,035        6.6
1,159,184,593  1,751,029,949  12,977,153        1,159,038     292,876,437  6,153,171      10,121       17.6
112,121,887    65,467,082     1,644,929         220,480       12,196,697   626,349        4,324        16.3
125,394,397    72,121,986     1,621,097         173,225       13,497,444   735,375        4,336        6.5
115,474,859    63,246,619     1,780,864         194,625       11,750,533   665,665        4,325        7.3
200,565,743    173,041,227    2,590,490         247,585       31,179,820   1,576,227      4,370        7.0
52,742,774     32,474,872     648,941           102,206       5,732,279    246,888        1,015        7.5
112,208,766    65,990,212     1,697,530         199,896       12,328,329   654,378        4,333        6.2
128,533,077    83,417,476     1,772,515         192,963       15,500,777   681,564        4,387        6.6
176,267,187    173,151,719    2,430,181         370,095       31,142,183   966,037        4,533        7.3
188,747,345    198,460,570    2,193,213         349,638       35,671,596   1,233,740      4,510        7.4
107,340,816    59,182,190     1,659,101         213,078       11,107,298   607,808        4,314        7.3
119,674,447    76,932,736     1,746,928         205,416       14,320,233   732,836        4,341        6.7
130,583,407    92,878,918     1,810,002         217,295       16,992,757   913,989        4,330        6.8
148,223,112    103,100,100    1,944,989         223,149       19,354,671   1,038,765      4,311        6.2
101,579,432    66,182,848     1,535,633         191,825       12,321,120   591,091        3,729        6.6
82,956,775     49,666,131     1,194,590         139,065       9,185,335    451,075        3,109        6.5
145,161,658    133,925,692    1,581,493         203,569       24,241,377   913,022        1,506        6.1
89,089,301     46,712,824     1,161,937         152,873       8,683,700    424,060        2,717        6.7
154,619,059    136,799,393    1,989,375         249,705       24,470,954   1,099,372      3,324        6.2
101,147,274    56,355,323     1,516,898         170,753       10,545,387   576,831        4,325        6.9
216,158,901    170,647,293    2,663,582         237,037       31,758,599   1,571,309      4,345        6.4
158,488,406    118,767,116    1,946,207         220,685       20,836,506   1,218,073      4,326        7.1
224,889,053    180,767,604    2,724,971         288,763       32,731,469   1,703,392      4,415        6.4
124,509,973    76,604,974     1,791,719         224,600       14,144,651   797,197        4,333        7.4
135,401,437    90,207,960     1,947,876         199,265       16,673,124   989,875        4,321        6.4
133,803,813    78,357,167     1,713,294         196,426       14,580,099   750,206        4,337        6.5
324,909,523    351,089,566    3,625,299         268,298       61,862,400   2,839,030      4,336        7.1
128,593,434    86,133,538     1,761,068         230,383       16,025,174   929,053        4,321        8.1
141,540,007    85,231,835     2,399,159         222,461       16,073,186   876,124        4,345        6.1
118,242,564    72,868,254     1,680,451         192,348       13,413,374   723,645        4,331        6.8
197,413,232    156,736,245    2,593,441         287,595       28,463,075   1,527,729      4,342        6.7
113,558,252    80,636,137     1,654,510         182,882       14,802,040   651,173        4,379        7.0
49,251,882     29,347,976     604,872           84,058        5,126,798    229,764        1,015        6.5
102,570,542    60,952,937     1,604,574         154,045       11,316,687   601,089        4,334        5.8
123,579,743    80,284,108     1,805,577         188,446       14,922,535   797,773        4,336        6.2
100,058,514    58,360,200     1,502,354         180,690       10,949,408   593,863        4,322        6.6
123,496,422    82,514,243     1,784,768         195,985       15,231,932   808,188        4,331        6.1
100,412,242    56,622,822     1,586,043         162,122       10,702,432   592,030        4,321        6.3
134,861,865    96,487,892     1,810,897         156,015       17,740,257   1,048,751      4,322        6.1
164,711,418    118,972,548    2,147,488         226,542       21,844,503   1,326,567      4,332        6.5
148,651,837    97,492,622     1,989,900         246,093       18,044,924   805,029        4,403        6.8
163,769,806    128,829,664    2,068,367         193,575       23,540,594   1,387,135      4,317        6.9
118,481,520    70,697,079     1,811,863         214,280       13,064,471   680,955        4,356        6.8
115,070,885    67,872,648     1,712,939         206,324       12,681,119   708,615        4,322        6.5
217,574,926    207,819,736    2,691,736         274,416       37,348,884   1,649,460      4,381        6.4
184,952,643    137,301,731    2,369,281         299,054       25,496,023   1,164,862      4,333        7.6
137,842,453    105,270,489    1,883,252         253,961       19,387,053   940,376        4,373        7.0
129,791,595    73,304,075     1,745,910         202,995       13,617,356   666,231        4,334        6.5
125,344,156    86,267,698     1,752,127         215,048       15,810,097   757,786        4,330        7.5
