LLC-loads  LLC-load-misses  LLC-stores  LLC-store-misses  dTLB-loads  dTLB-load-misses  dTLB-stores  dTLB-store-misses  Power
394,054    51,736           442,907     65,677            <not        0                 <not         17,003             6.9
528,294    45,566           166,293     84,355            <not        0                 <not         24,321             6.3
625,962    55,762           167,346     83,468            <not        0                 <not         25,586             7.0
711,866    82,811           270,526     101,693           <not        0                 <not         24,035             7.4
320,384    71,176           301,097     86,441            <not        0                 <not         20,923             6.5
395,943    60,245           424,790     99,290            <not        0                 <not         18,943             7.0
472,070    65,213           252,181     59,180            <not        0                 <not         16,727             6.5
889,857    75,047           198,476     82,370            <not        0                 <not         24,489             7.2
484,232    81,299           220,228     73,442            <not        0                 <not         21,060             6.3
652,963    68,616           258,409     136,553           <not        0                 <not         21,594             7.5
717,898    67,578           378,932     69,799            <not        0                 <not         29,413             7.0
590,889    53,742           202,626     92,764            <not        0                 <not         30,968             6.7
349,996    106,211          183,951     52,620            <not        0                 <not         12,598             7.6
508,634    54,602           212,334     87,544            <not        0                 <not         21,680             6.8
744,167    117,218          320,448     69,620            <not        0                 <not         18,646             7.2
494,014    54,945           180,036     76,437            <not        0                 <not         19,592             6.3
420,210    59,323           401,898     50,538            <not        0                 <not         14,972             6.8
544,994    54,767           177,790     55,742            <not        0                 <not         20,856             6.9
540,900    68,862           321,214     96,849            <not        0                 <not         21,385             6.8
442,466    60,489           210,393     79,308            <not        0                 <not         17,366             6.5
454,162    65,064           314,181     66,704            <not        0                 <not         19,195             6.8
562,937    48,825           147,938     95,527            <not        0                 <not         25,530             6.5
447,539    65,278           496,430     74,356            <not        0                 <not         20,726             6.9
654,842    92,368           511,600     117,705           <not        0                 <not         25,135             7.0
449,353    56,889           221,978     110,040           <not        0                 <not         17,246             6.8
558,970    58,408           171,982     58,037            <not        0                 <not         17,216             6.4
489,174    52,619           266,322     87,931            <not        0                 <not         22,454             7.4
642,484    70,269           134,255     59,484            <not        0                 <not         21,865             6.7
510,483    61,398           403,921     125,705           <not        0                 <not         19,523             7.0
6,976,981  121,467          848,911     403,366           <not        0                 <not         93,113             11.2
1,000,512  94,301           393,272     296,053           <not        0                 <not         31,104             7.0
515,758    81,998           287,395     106,614           <not        0                 <not         21,524             [77.00%]
568,803    88,085           471,038     168,550           <not        0                 <not         15,011             7.1
207,364    57,619           174,138     44,015            <not        0                 <not         16,719             6.9
711,197    69,295           363,420     129,081           <not        0                 <not         16,741             6.1
700,782    120,659          449,299     129,884           <not        0                 <not         23,598             6.8
647,328    95,601           148,032     51,782            <not        0                 <not         16,439             7.0
502,396    70,401           374,535     114,497           <not        0                 <not         19,842             6.5
609,012    82,343           249,126     90,227            <not        0                 <not         21,496             6.9
700,569    40,021           135,399     57,967            <not        0                 <not         22,668             6.6
935,699    68,601           125,155     63,979            <not        0                 <not         24,409             6.4
612,591    66,473           161,438     64,955            <not        0                 <not         18,630             7.4
936,050    62,698           104,187     76,899            <not        0                 <not         26,703             6.3
423,073    55,558           233,842     65,902            <not        0                 <not         22,676             6.7
652,452    82,332           329,863     61,317            <not        0                 <not         20,970             6.5
478,008    68,665           221,115     87,640            <not        0                 <not         23,391             7.0
775,908    140,023          684,484     171,325           <not        0                 <not         25,163             6.6
472,881    81,637           347,535     63,584            <not        0                 <not         20,105             7.8
714,306    83,916           372,392     152,481           <not        0                 <not         25,419             6.7
571,909    94,271           182,557     60,874            <not        0                 <not         21,873             8.4
591,500    81,731           213,220     75,712            <not        0                 <not         22,780             6.8
587,792    72,525           168,611     80,789            <not        0                 <not         22,016             6.7
769,457    106,132          268,818     98,403            <not        0                 <not         21,794             6.8
578,133    80,058           210,087     59,865            <not        0                 <not         17,967             6.8
503,626    59,826           211,966     66,978            <not        0                 <not         16,926             6.7
531,292    54,882           198,944     79,073            <not        0                 <not         23,108             6.6
410,625    60,676           330,404     74,597            <not        0                 <not         16,970             6.7
732,841    83,724           291,327     141,975           <not        0                 <not         17,966             6.8
449,925    66,483           408,731     99,501            <not        0                 <not         22,424             7.3
429,679    60,536           303,740     42,817            <not        0                 <not         17,381             6.6
514,833    61,117           206,371     67,712            <not        0                 <not         23,354             6.5
586,668    71,873           310,650     239,198           <not        0                 <not         22,170             6.6
559,014    64,789           188,360     99,390            <not        0                 <not         31,395             7.3
518,702    58,882           234,335     96,956            <not        0                 <not         21,205             6.7
547,307    54,280           231,243     142,049           <not        0                 <not         21,754             6.7
206,400    32,812           90,931      69,380            <not        0                 <not         10,825             6.8
561,322    50,652           204,733     104,207           <not        0                 <not         20,837             6.1
506,149    61,716           248,579     70,711            <not        0                 <not         17,627             6.5
695,561    56,101           364,938     72,633            <not        0                 <not         35,271             6.6
697,583    58,529           140,773     84,316            <not        0                 <not         27,742             7.0
605,668    61,793           230,833     134,538           <not        0                 <not         35,359             6.3
665,074    72,134           172,628     67,038            <not        0                 <not         20,732             7.1
3,146,443  102,446          393,745     323,442           <not        0                 <not         44,011             7.6
530,140    92,076           189,891     64,143            <not        0                 <not         17,522             8.6
474,423    58,304           320,674     87,407            <not        0                 <not         20,569             6.5
461,157    42,551           199,984     77,120            <not        0                 <not         18,167             6.7
488,442    79,755           317,756     278,061           <not        0                 <not         36,571             6.6
488,613    65,256           245,188     83,258            <not        0                 <not         18,287             6.7
607,406    72,266           191,894     69,008            <not        0                 <not         24,602             6.4
557,401    46,528           165,274     134,659           <not        0                 <not         26,967             6.8
539,157    74,472           289,873     117,271           <not        0                 <not         24,029             6.4
